ID_Venta,ID_Cliente,ID_Vehiculo,ID_Sucursal,ID_Tiempo,Fecha_de_alquiler,Monto_de_alquiler,Duracion_de_alquiler
45,45,45,45,45,2021-01-14,3568.06,29
46,46,46,46,46,2021-05-18,959.14,14
47,47,47,47,47,2024-07-12,6751.2,8
48,48,48,48,48,2022-02-20,9816.83,28
49,49,49,49,49,2022-01-06,9712.68,12
50,50,50,50,50,2023-02-22,5852.66,3
51,51,51,51,51,2024-04-22,1474.09,26
52,52,52,52,52,2022-09-27,391.77,5
53,53,53,53,53,2024-07-19,294.12,16
54,54,54,54,54,2022-06-15,5117.83,19
55,55,55,55,55,2023-04-18,2649.75,21
56,56,56,56,56,2024-03-22,2317.25,30
57,57,57,57,57,2022-06-27,6783.77,26
58,58,58,58,58,2024-01-25,5925.57,21
59,59,59,59,59,2022-12-13,7545.35,30
60,60,60,60,60,2020-11-13,4735.53,6
61,61,61,61,61,2022-04-29,5332.87,23
62,62,62,62,62,2024-03-18,168.58,13
63,63,63,63,63,2024-08-20,2833.76,12
64,64,64,64,64,2022-03-22,3090.3,25
65,65,65,65,65,2024-07-06,3171.47,1
66,66,66,66,66,2020-12-29,2827.78,27
67,67,67,67,67,2023-05-17,9846.21,20
68,68,68,68,68,2023-04-16,5044.74,10
69,69,69,69,69,2021-03-17,4359.96,26
70,70,70,70,70,2024-02-18,7462.74,14
71,71,71,71,71,2023-07-09,5434.72,3
72,72,72,72,72,2023-04-19,4030.94,3
73,73,73,73,73,2023-12-03,8335.83,15
74,74,74,74,74,2021-08-11,8763.02,1
75,75,75,75,75,2023-03-17,6836.81,10
76,76,76,76,76,2022-02-28,7361.51,12
77,77,77,77,77,2022-07-01,5540.74,13
78,78,78,78,78,2022-05-30,9840.88,3
79,79,79,79,79,2023-10-11,4967.03,26
80,80,80,80,80,2024-06-26,235.06,14
81,81,81,81,81,2021-05-16,6566.85,4
82,82,82,82,82,2022-07-03,4837.18,27
83,83,83,83,83,2024-05-27,2441.73,28
84,84,84,84,84,2023-08-24,7315.69,24
85,85,85,85,85,2024-10-06,5352.89,17
86,86,86,86,86,2024-07-17,7156.21,5
87,87,87,87,87,2022-09-14,5300.4,14
88,88,88,88,88,2024-07-10,6803.23,19
89,89,89,89,89,2022-03-30,3234.4,11
90,90,90,90,90,2020-12-19,867.92,20
91,91,91,91,91,2024-01-11,788.28,10
92,92,92,92,92,2022-01-11,9684.4,17
93,93,93,93,93,2021-12-05,1052.04,19
94,94,94,94,94,2023-04-18,7479.34,23
95,95,95,95,95,2023-07-29,1078.08,7
96,96,96,96,96,2020-12-25,5016.54,23
97,97,97,97,97,2020-12-26,9941.79,9
98,98,98,98,98,2022-03-26,8874.77,23
99,99,99,99,99,2021-03-13,4726.44,21
100,100,100,100,100,2023-11-26,4814.13,30
101,101,101,101,101,2021-01-24,6428.25,8
102,102,102,102,102,2021-01-21,607.28,12
103,103,103,103,103,2023-11-17,7277.59,6
104,104,104,104,104,2020-10-20,8901.97,26
105,105,105,105,105,2024-07-24,8110.15,15
106,106,106,106,106,2021-08-13,6072.22,25
107,107,107,107,107,2023-05-01,5348.73,29
108,108,108,108,108,2021-09-12,1472.53,1
109,109,109,109,109,2023-09-12,2602.75,26
110,110,110,110,110,2022-06-13,5463.33,30
111,111,111,111,111,2024-08-19,289.9,6
112,112,112,112,112,2022-12-22,6770.2,3
113,113,113,113,113,2022-09-03,6404.46,9
114,114,114,114,114,2023-01-25,4544.72,15
115,115,115,115,115,2022-11-03,5444.92,4
116,116,116,116,116,2021-06-20,4874.07,19
117,117,117,117,117,2020-12-04,2154.17,14
118,118,118,118,118,2023-09-18,6418.76,17
119,119,119,119,119,2023-02-02,9118.96,29
120,120,120,120,120,2022-04-26,7573.18,12
121,121,121,121,121,2022-10-01,6261.19,22
122,122,122,122,122,2022-01-08,4431.43,26
123,123,123,123,123,2021-06-04,9827.32,19
124,124,124,124,124,2022-04-17,9168.49,24
125,125,125,125,125,2023-05-22,7765.03,25
126,126,126,126,126,2023-01-27,1153.74,11
127,127,127,127,127,2022-07-06,9364.71,12
128,128,128,128,128,2022-08-02,1060.4,8
129,129,129,129,129,2024-01-23,384.02,7
130,130,130,130,130,2024-09-09,6704.16,14
131,131,131,131,131,2024-05-19,7792.69,19
132,132,132,132,132,2024-06-18,5629.55,3
133,133,133,133,133,2023-10-03,6575.45,22
134,134,134,134,134,2024-04-30,8968.18,13
135,135,135,135,135,2020-11-07,8939.45,18
136,136,136,136,136,2024-03-08,2702.17,13
137,137,137,137,137,2024-07-13,6535.99,14
138,138,138,138,138,2020-12-03,7822.86,16
139,139,139,139,139,2024-08-22,5554.76,18
140,140,140,140,140,2022-07-31,4283.73,11
141,141,141,141,141,2024-09-28,7604.06,26
142,142,142,142,142,2021-04-03,9199.74,18
143,143,143,143,143,2022-01-01,7895.46,25
144,144,144,144,144,2022-05-09,1755.72,18
145,145,145,145,145,2022-07-05,3178.61,8
146,146,146,146,146,2023-03-17,1435.76,14
147,147,147,147,147,2024-04-11,9875.23,12
148,148,148,148,148,2021-03-05,8596.62,12
149,149,149,149,149,2023-11-06,8236.88,23
150,150,150,150,150,2023-04-02,4998.18,3
151,151,151,151,151,2021-02-15,2311.04,3
152,152,152,152,152,2023-07-04,8060.23,27
153,153,153,153,153,2021-10-04,3511.77,28
154,154,154,154,154,2021-11-08,5691.48,24
155,155,155,155,155,2021-09-07,3167.44,4
156,156,156,156,156,2023-10-12,1222.3,4
157,157,157,157,157,2022-12-08,7858.94,1
158,158,158,158,158,2022-09-14,5082.44,5
159,159,159,159,159,2023-05-02,614.86,6
160,160,160,160,160,2021-12-13,9618.57,10
161,161,161,161,161,2023-07-30,7959.67,18
162,162,162,162,162,2022-01-03,7462.76,14
163,163,163,163,163,2023-09-18,2366.95,13
164,164,164,164,164,2021-10-04,8331.36,10
165,165,165,165,165,2023-05-26,3322.96,22
166,166,166,166,166,2022-12-01,8660.63,5
167,167,167,167,167,2023-01-02,1794.72,23
168,168,168,168,168,2022-04-13,5704.09,14
169,169,169,169,169,2021-08-05,7180.62,4
170,170,170,170,170,2021-01-03,3672.96,21
171,171,171,171,171,2021-11-07,8881.8,27
172,172,172,172,172,2020-12-22,4714.99,4
173,173,173,173,173,2022-01-17,8896.71,29
174,174,174,174,174,2021-09-29,8956.34,24
175,175,175,175,175,2022-11-03,2092.62,21
176,176,176,176,176,2021-11-17,3841.11,4
177,177,177,177,177,2024-08-17,4596.84,28
178,178,178,178,178,2021-01-24,7539.79,24
179,179,179,179,179,2022-03-28,6069.44,24
180,180,180,180,180,2022-06-02,2552.38,19
181,181,181,181,181,2024-04-04,4286.24,5
182,182,182,182,182,2023-11-20,4440.32,25
183,183,183,183,183,2021-04-17,4882.93,30
184,184,184,184,184,2020-11-24,4175.56,23
185,185,185,185,185,2024-06-01,8729.14,6
186,186,186,186,186,2022-10-08,9565.04,16
187,187,187,187,187,2023-05-12,4919.7,23
188,188,188,188,188,2020-11-15,3257.03,17
189,189,189,189,189,2023-02-20,4488.18,28
190,190,190,190,190,2022-07-06,6067.8,28
191,191,191,191,191,2024-04-17,2841.62,25
192,192,192,192,192,2022-03-04,5777.64,27
193,193,193,193,193,2024-02-16,1022.97,3
194,194,194,194,194,2022-10-12,1334.12,2
195,195,195,195,195,2023-07-06,4835.51,6
196,196,196,196,196,2021-02-25,2286.89,23
197,197,197,197,197,2022-06-22,9518.52,15
198,198,198,198,198,2021-12-16,8046.82,25
199,199,199,199,199,2021-10-07,1735.5,6
200,200,200,200,200,2021-10-10,8554.31,20
201,201,201,201,201,2024-07-15,6303.76,14
202,202,202,202,202,2021-02-12,6945.62,7
203,203,203,203,203,2024-01-14,3480.52,25
204,204,204,204,204,2024-03-05,6433.91,23
205,205,205,205,205,2024-05-19,5312.76,6
206,206,206,206,206,2022-07-10,3635.3,6
207,207,207,207,207,2021-01-25,4878.83,20
208,208,208,208,208,2023-11-21,4687.45,28
209,209,209,209,209,2022-08-19,9747.35,15
210,210,210,210,210,2021-08-03,6151.82,17
211,211,211,211,211,2024-04-13,3985.4,8
212,212,212,212,212,2021-06-09,2310.31,30
213,213,213,213,213,2021-09-26,4123.45,9
214,214,214,214,214,2023-11-03,3334.9,6
215,215,215,215,215,2022-12-04,9451.77,30
216,216,216,216,216,2024-07-16,7196.1,8
217,217,217,217,217,2023-07-20,6375.13,26
218,218,218,218,218,2023-12-12,4864.09,8
219,219,219,219,219,2022-08-21,7710.76,2
220,220,220,220,220,2024-09-23,3410.53,12
221,221,221,221,221,2021-11-01,7157.7,21
222,222,222,222,222,2020-12-31,7944.74,2
223,223,223,223,223,2024-07-13,4054.72,3
224,224,224,224,224,2022-02-10,7321.68,18
225,225,225,225,225,2023-08-05,8982.49,5
226,226,226,226,226,2022-12-22,5241.62,24
227,227,227,227,227,2024-05-10,1548.93,7
228,228,228,228,228,2022-12-22,2635.87,20
229,229,229,229,229,2021-04-11,8370.45,7
230,230,230,230,230,2022-12-12,4221.35,20
231,231,231,231,231,2024-07-23,7383.3,6
232,232,232,232,232,2020-12-31,5472.01,4
233,233,233,233,233,2021-11-26,7633.83,18
234,234,234,234,234,2024-09-16,2433.26,30
235,235,235,235,235,2023-01-17,8521.34,1
236,236,236,236,236,2020-12-08,7749.18,23
237,237,237,237,237,2020-11-19,6037.11,10
238,238,238,238,238,2020-12-25,6887.71,29
239,239,239,239,239,2021-10-10,3281.82,29
240,240,240,240,240,2024-05-06,8672.16,24
241,241,241,241,241,2021-01-11,9204.91,16
242,242,242,242,242,2022-10-08,697.77,12
243,243,243,243,243,2023-02-10,1466.83,22
244,244,244,244,244,2022-07-09,895.44,27
245,245,245,245,245,2024-04-06,4843.91,21
246,246,246,246,246,2021-07-30,937.85,3
247,247,247,247,247,2021-06-06,373.22,29
248,248,248,248,248,2022-06-03,9332.3,22
249,249,249,249,249,2022-03-15,7763.45,16
250,250,250,250,250,2021-06-14,7820.47,8
251,251,251,251,251,2024-07-25,1178.94,1
252,252,252,252,252,2020-11-27,2135.46,15
253,253,253,253,253,2021-03-24,8810.15,13
254,254,254,254,254,2021-02-16,8951.06,20
255,255,255,255,255,2023-08-24,9347.33,2
256,256,256,256,256,2024-06-18,7831.73,4
257,257,257,257,257,2022-05-06,9238.64,28
258,258,258,258,258,2021-04-20,9054.54,11
259,259,259,259,259,2024-04-16,2505.94,24
260,260,260,260,260,2022-11-16,3889.03,30
261,261,261,261,261,2023-03-23,9770.37,11
262,262,262,262,262,2021-05-29,7909.24,22
263,263,263,263,263,2023-06-12,4463.01,18
264,264,264,264,264,2022-02-19,9413.08,24
265,265,265,265,265,2023-10-28,5903.39,28
266,266,266,266,266,2022-07-18,6387.94,5
267,267,267,267,267,2021-07-19,5095.67,11
268,268,268,268,268,2024-09-30,1116.66,5
269,269,269,269,269,2022-08-12,8470.41,26
270,270,270,270,270,2021-07-12,3931.06,10
271,271,271,271,271,2021-05-13,4364.64,24
272,272,272,272,272,2022-06-25,1550.06,26
273,273,273,273,273,2022-09-01,9678.62,1
274,274,274,274,274,2022-02-24,9844.46,29
275,275,275,275,275,2024-04-15,1694.15,23
276,276,276,276,276,2021-06-19,9276.72,22
277,277,277,277,277,2022-09-22,4910.2,24
278,278,278,278,278,2021-02-04,2952.01,5
279,279,279,279,279,2021-11-26,6718.3,8
280,280,280,280,280,2024-04-14,7717.86,15
281,281,281,281,281,2023-04-08,9184.64,8
282,282,282,282,282,2024-03-01,1760.51,12
283,283,283,283,283,2024-10-03,2344.35,1
284,284,284,284,284,2023-11-24,2595.68,2
285,285,285,285,285,2022-03-17,1531.31,30
286,286,286,286,286,2022-07-18,7575.57,27
287,287,287,287,287,2021-09-26,4444.42,16
288,288,288,288,288,2023-02-23,5884.01,3
289,289,289,289,289,2022-04-21,687.09,30
290,290,290,290,290,2023-06-30,8920.43,10
291,291,291,291,291,2022-02-04,2116.33,16
292,292,292,292,292,2024-03-22,7748.56,30
293,293,293,293,293,2022-01-17,1778.01,8
294,294,294,294,294,2021-09-07,3380.97,25
295,295,295,295,295,2022-09-20,9526.68,18
296,296,296,296,296,2021-09-21,5594.77,28
297,297,297,297,297,2021-09-18,7611.8,5
298,298,298,298,298,2021-08-11,6276.7,22
299,299,299,299,299,2023-02-05,3535.69,20
300,300,300,300,300,2022-01-14,894.17,9
301,301,301,301,301,2022-08-29,5481.45,3
302,302,302,302,302,2022-09-02,4047.41,1
303,303,303,303,303,2021-09-01,2798.99,20
304,304,304,304,304,2022-04-26,1830.85,6
305,305,305,305,305,2021-10-27,1573.64,9
306,306,306,306,306,2021-09-10,4666.04,26
307,307,307,307,307,2024-01-17,1627.33,4
308,308,308,308,308,2022-07-29,290.13,16
309,309,309,309,309,2021-01-17,3729.03,12
310,310,310,310,310,2022-02-21,1472.95,20
311,311,311,311,311,2021-01-14,9681.62,3
312,312,312,312,312,2022-04-24,8312.69,21
313,313,313,313,313,2023-04-04,8620.79,28
314,314,314,314,314,2024-07-11,4403.31,11
315,315,315,315,315,2024-09-12,3012.23,25
316,316,316,316,316,2021-10-28,7870.23,23
317,317,317,317,317,2024-01-16,6978.1,10
318,318,318,318,318,2024-02-06,3778.13,5
319,319,319,319,319,2022-01-26,4195.04,22
320,320,320,320,320,2022-04-15,423.91,20
321,321,321,321,321,2022-08-12,1690.65,30
322,322,322,322,322,2024-08-21,3920.08,22
323,323,323,323,323,2023-08-11,2929.66,25
324,324,324,324,324,2021-09-30,4219.19,9
325,325,325,325,325,2023-04-12,877.79,12
326,326,326,326,326,2022-11-01,9107.52,27
327,327,327,327,327,2021-05-16,6725.94,26
328,328,328,328,328,2022-11-17,9781.35,21
329,329,329,329,329,2022-04-14,2331.83,12
330,330,330,330,330,2020-11-15,3162.4,28
331,331,331,331,331,2022-05-26,9447.17,25
332,332,332,332,332,2023-02-12,692.61,10
333,333,333,333,333,2021-05-08,7463.82,14
334,334,334,334,334,2021-02-04,1340.72,28
335,335,335,335,335,2023-07-09,7799.27,11
336,336,336,336,336,2024-02-23,9131.51,9
337,337,337,337,337,2024-04-10,7440.07,27
338,338,338,338,338,2022-01-11,1936.07,12
339,339,339,339,339,2024-07-10,2228.4,10
340,340,340,340,340,2021-01-10,5845.36,22
341,341,341,341,341,2023-01-30,8523.34,8
342,342,342,342,342,2022-12-13,2730.95,25
343,343,343,343,343,2021-04-05,1528.76,19
344,344,344,344,344,2022-03-29,8924.76,11
345,345,345,345,345,2022-04-03,1677.02,22
346,346,346,346,346,2023-12-02,3722.87,23
347,347,347,347,347,2023-02-09,1955.14,28
348,348,348,348,348,2021-11-04,780.2,20
349,349,349,349,349,2021-11-19,6666.04,15
350,350,350,350,350,2021-12-17,5680.58,29
351,351,351,351,351,2021-05-10,4507.06,26
352,352,352,352,352,2022-02-19,2600.45,17
353,353,353,353,353,2023-07-23,2149.3,9
354,354,354,354,354,2021-10-30,9354.75,29
355,355,355,355,355,2020-12-14,9681.12,20
356,356,356,356,356,2022-01-29,272.72,23
357,357,357,357,357,2022-04-02,1091.72,11
358,358,358,358,358,2020-11-24,8578.69,5
359,359,359,359,359,2024-08-19,5467.28,25
360,360,360,360,360,2024-07-06,9489.63,19
361,361,361,361,361,2023-05-08,6194.71,14
362,362,362,362,362,2020-10-31,1963.35,4
363,363,363,363,363,2022-06-11,3255.72,18
364,364,364,364,364,2022-06-06,4469.14,19
365,365,365,365,365,2021-03-12,650.14,19
366,366,366,366,366,2023-09-03,2161.2,22
367,367,367,367,367,2021-07-03,348.55,19
368,368,368,368,368,2021-02-24,972.06,23
369,369,369,369,369,2021-12-03,2549.89,21
370,370,370,370,370,2022-08-20,8688.36,6
371,371,371,371,371,2023-10-16,1267.89,18
372,372,372,372,372,2024-04-21,357.78,17
373,373,373,373,373,2020-11-07,7428.03,30
374,374,374,374,374,2021-03-01,9879.3,7
375,375,375,375,375,2021-08-05,3369.82,28
376,376,376,376,376,2024-02-25,3486.86,10
377,377,377,377,377,2022-12-19,6962.67,9
378,378,378,378,378,2020-12-30,8033.45,15
379,379,379,379,379,2023-03-04,2591.24,4
380,380,380,380,380,2022-12-20,7106.23,24
381,381,381,381,381,2024-01-31,6445.68,10
382,382,382,382,382,2022-08-07,8355.1,25
383,383,383,383,383,2024-05-30,4468.49,1
384,384,384,384,384,2023-07-18,9730.44,6
385,385,385,385,385,2024-10-04,4531.11,15
386,386,386,386,386,2024-04-22,2222.05,21
387,387,387,387,387,2024-05-18,3262.07,28
388,388,388,388,388,2022-03-12,9603.01,2
389,389,389,389,389,2022-02-03,2873.48,12
390,390,390,390,390,2020-10-08,2434.1,8
391,391,391,391,391,2022-11-08,2459.89,13
392,392,392,392,392,2023-08-12,4553.51,8
393,393,393,393,393,2022-07-26,2235.55,22
394,394,394,394,394,2021-10-02,5607.29,18
395,395,395,395,395,2020-12-18,2587.43,14
396,396,396,396,396,2022-05-20,2162.58,19
397,397,397,397,397,2024-01-23,846.93,26
398,398,398,398,398,2022-03-10,3080.86,11
399,399,399,399,399,2023-12-29,3157.34,29
400,400,400,400,400,2022-10-01,5862.76,18
401,401,401,401,401,2022-12-05,2999.35,18
402,402,402,402,402,2024-07-18,7397.75,28
403,403,403,403,403,2024-03-26,3903.18,1
404,404,404,404,404,2024-07-30,1589.25,18
405,405,405,405,405,2023-11-07,4360.73,1
406,406,406,406,406,2024-08-22,1413.04,30
407,407,407,407,407,2021-08-25,8706.81,10
408,408,408,408,408,2023-09-21,130.22,25
409,409,409,409,409,2022-08-23,9098.11,10
410,410,410,410,410,2021-05-09,3035.61,23
411,411,411,411,411,2022-12-19,5494.54,21
412,412,412,412,412,2020-11-22,2945.39,16
413,413,413,413,413,2023-12-12,7653.87,18
414,414,414,414,414,2022-03-10,1838.3,8
415,415,415,415,415,2024-02-11,1023.4,29
416,416,416,416,416,2023-05-02,2330.23,5
417,417,417,417,417,2022-12-15,1039.46,5
418,418,418,418,418,2022-10-31,2455.61,9
419,419,419,419,419,2023-02-28,4058.78,1
420,420,420,420,420,2022-03-29,6515.18,21
421,421,421,421,421,2022-01-15,929.16,18
422,422,422,422,422,2022-02-06,3821.13,13
423,423,423,423,423,2021-07-10,1860.25,11
424,424,424,424,424,2024-03-06,444.59,9
425,425,425,425,425,2021-12-15,4136.18,12
426,426,426,426,426,2023-11-06,7910.23,26
427,427,427,427,427,2023-01-19,977.36,25
428,428,428,428,428,2023-05-02,1708.82,16
429,429,429,429,429,2022-08-20,6122.66,8
430,430,430,430,430,2022-02-24,8943.92,6
431,431,431,431,431,2023-12-26,9499.47,13
432,432,432,432,432,2021-11-06,5384.19,11
433,433,433,433,433,2021-07-03,4796.16,7
434,434,434,434,434,2022-06-11,8400.39,30
435,435,435,435,435,2021-12-18,1019.61,1
436,436,436,436,436,2023-11-08,8623.03,9
437,437,437,437,437,2022-09-27,9391.48,7
438,438,438,438,438,2023-08-08,2237.03,21
439,439,439,439,439,2021-02-25,1783.7,7
440,440,440,440,440,2021-02-10,8962.88,1
441,441,441,441,441,2020-10-28,9352.43,15
442,442,442,442,442,2024-04-01,4792.72,15
443,443,443,443,443,2023-06-03,2729.86,14
444,444,444,444,444,2023-08-31,6247.71,4
445,445,445,445,445,2023-02-04,3866.2,4
446,446,446,446,446,2022-04-11,3923.59,11
447,447,447,447,447,2022-02-02,7431.05,29
448,448,448,448,448,2022-01-16,6783.63,14
449,449,449,449,449,2022-08-08,6040.99,22
450,450,450,450,450,2023-03-10,6507.29,29
451,451,451,451,451,2024-02-06,855.92,3
452,452,452,452,452,2022-09-16,4806.96,19
453,453,453,453,453,2023-11-15,1667.5,15
454,454,454,454,454,2022-06-08,7052.48,13
455,455,455,455,455,2023-02-10,8447.71,22
456,456,456,456,456,2021-05-09,4038.53,13
457,457,457,457,457,2023-05-16,6164.04,6
458,458,458,458,458,2024-03-28,7895.43,27
459,459,459,459,459,2022-11-14,7291.71,26
460,460,460,460,460,2023-10-11,9290.93,16
461,461,461,461,461,2021-03-16,2415.34,27
462,462,462,462,462,2022-01-23,9082.08,30
463,463,463,463,463,2023-10-16,144.84,29
464,464,464,464,464,2021-05-15,4203.79,10
465,465,465,465,465,2021-01-21,8415.08,18
466,466,466,466,466,2023-07-17,5458.31,6
467,467,467,467,467,2021-12-06,4588.58,14
468,468,468,468,468,2024-10-06,8450.18,13
469,469,469,469,469,2021-04-08,6059.88,5
470,470,470,470,470,2023-09-23,2680.66,11
471,471,471,471,471,2023-01-27,6037.22,17
472,472,472,472,472,2022-05-07,3901.87,29
473,473,473,473,473,2022-12-23,4496.23,14
474,474,474,474,474,2023-03-29,8733.38,24
475,475,475,475,475,2022-03-28,763.59,25
476,476,476,476,476,2022-10-23,4534.21,4
477,477,477,477,477,2021-02-01,5278.15,17
478,478,478,478,478,2023-11-07,3704.1,17
479,479,479,479,479,2024-02-08,2862.59,13
480,480,480,480,480,2024-08-16,2561.77,3
481,481,481,481,481,2022-11-16,6361.84,5
482,482,482,482,482,2023-11-11,1432.88,17
483,483,483,483,483,2021-09-16,9587.39,27
484,484,484,484,484,2022-07-10,9886.01,4
485,485,485,485,485,2024-02-20,1859.49,11
486,486,486,486,486,2024-07-23,4240.79,1
487,487,487,487,487,2023-03-30,7130.19,26
488,488,488,488,488,2022-10-26,189.5,19
489,489,489,489,489,2024-03-17,6271.04,4
490,490,490,490,490,2024-01-14,3686.37,21
491,491,491,491,491,2023-03-14,5678.41,6
492,492,492,492,492,2021-07-02,5470.54,1
493,493,493,493,493,2024-02-01,8625.14,13
494,494,494,494,494,2021-12-04,5568.11,16
495,495,495,495,495,2021-09-02,3094.76,28
496,496,496,496,496,2024-07-06,5951.69,4
497,497,497,497,497,2023-12-25,1553.81,11
498,498,498,498,498,2022-10-20,5435.9,24
499,499,499,499,499,2022-03-25,8433.53,4
500,500,500,500,500,2023-07-16,493.4,18
501,501,501,501,501,2024-06-22,393.63,24
502,502,502,502,502,2021-07-01,9975.4,24
503,503,503,503,503,2022-11-11,8325.38,23
504,504,504,504,504,2022-02-22,6704.84,20
505,505,505,505,505,2023-09-24,8186.8,26
506,506,506,506,506,2021-05-19,2729.1,10
507,507,507,507,507,2022-04-04,5659.05,20
508,508,508,508,508,2022-04-03,2916.76,22
509,509,509,509,509,2023-06-05,5795.01,7
510,510,510,510,510,2022-10-10,9604.48,20
511,511,511,511,511,2022-05-06,3262.44,28
512,512,512,512,512,2024-10-05,334.65,5
513,513,513,513,513,2024-05-26,276.98,8
514,514,514,514,514,2023-10-27,6171.19,26
515,515,515,515,515,2023-12-10,5918.27,14
516,516,516,516,516,2023-02-01,1118.94,22
517,517,517,517,517,2024-04-14,6387.79,15
518,518,518,518,518,2023-10-14,4129.36,16
519,519,519,519,519,2023-08-08,5941.31,25
520,520,520,520,520,2021-04-22,6390.23,18
521,521,521,521,521,2022-10-03,1175.62,5
522,522,522,522,522,2022-05-03,6999.62,1
523,523,523,523,523,2021-11-12,4425.65,9
524,524,524,524,524,2020-12-17,9719.92,3
525,525,525,525,525,2023-06-02,5031.38,27
526,526,526,526,526,2023-04-29,8085.28,14
527,527,527,527,527,2020-11-14,534.12,15
528,528,528,528,528,2021-08-29,4891.39,23
529,529,529,529,529,2022-09-24,2640.29,13
530,530,530,530,530,2023-09-10,383.71,4
531,531,531,531,531,2023-01-22,4122.34,22
532,532,532,532,532,2022-05-10,8795.24,23
533,533,533,533,533,2021-03-23,3302.16,3
534,534,534,534,534,2021-09-27,3228.08,1
535,535,535,535,535,2024-09-04,5213.38,10
536,536,536,536,536,2023-04-15,8395.05,3
537,537,537,537,537,2022-03-22,2755.36,15
538,538,538,538,538,2023-06-12,5895.17,28
539,539,539,539,539,2024-07-27,7508.15,30
540,540,540,540,540,2022-01-08,8233.62,24
541,541,541,541,541,2023-08-28,1696.34,24
542,542,542,542,542,2023-02-15,7359.81,16
543,543,543,543,543,2023-03-06,2463.19,13
544,544,544,544,544,2022-05-15,6714.61,18
545,545,545,545,545,2022-01-19,3520.36,13
546,546,546,546,546,2024-02-13,1135.83,7
547,547,547,547,547,2023-10-19,886.76,30
548,548,548,548,548,2021-05-18,230.8,16
549,549,549,549,549,2023-12-03,221.06,28
550,550,550,550,550,2023-07-21,3345.38,14
551,551,551,551,551,2024-04-25,2895.88,13
552,552,552,552,552,2024-02-19,3175.99,3
553,553,553,553,553,2023-12-21,5179.55,14
554,554,554,554,554,2021-12-11,4809.34,24
555,555,555,555,555,2023-08-17,2521.34,14
556,556,556,556,556,2023-07-28,9909.47,19
557,557,557,557,557,2023-11-16,3114.12,23
558,558,558,558,558,2021-08-18,1339.08,10
559,559,559,559,559,2023-09-27,5173.37,10
560,560,560,560,560,2021-06-02,8462.0,3
561,561,561,561,561,2021-02-13,5547.94,9
562,562,562,562,562,2021-11-03,9440.65,3
563,563,563,563,563,2021-03-29,9258.13,22
564,564,564,564,564,2023-12-01,442.45,30
565,565,565,565,565,2024-09-13,7961.3,29
566,566,566,566,566,2022-10-26,493.02,10
567,567,567,567,567,2024-07-25,6974.93,19
568,568,568,568,568,2022-10-16,2985.09,20
569,569,569,569,569,2023-06-02,1010.49,28
570,570,570,570,570,2021-05-31,116.06,20
571,571,571,571,571,2023-06-04,9128.79,6
572,572,572,572,572,2021-01-27,4427.28,11
573,573,573,573,573,2021-01-07,6766.76,15
574,574,574,574,574,2021-10-01,4029.94,23
575,575,575,575,575,2021-07-01,849.11,1
576,576,576,576,576,2022-02-11,4904.92,22
577,577,577,577,577,2023-08-12,4606.2,9
578,578,578,578,578,2023-11-26,6582.03,20
579,579,579,579,579,2021-12-29,3721.47,12
