ID_Tiempo,Fecha,Mes,Año,Trimestre
205,2021-01-12,10,2022,4
209,2022-04-02,7,2024,3
210,2021-07-05,3,2022,1
212,2021-07-05,7,2021,1
213,2022-01-08,3,2024,2
214,2021-07-07,7,2020,4
217,2024-06-09,5,2024,3
219,2022-01-09,5,2022,4
225,2022-10-07,11,2023,4
226,2021-11-08,1,2021,2
227,2024-12-07,10,2023,1
228,2021-11-11,8,2020,1
231,2021-12-09,3,2023,4
232,2022-12-07,9,2023,1
234,2023-04-12,1,2022,1
238,2024-07-01,5,2020,2
239,2024-05-02,11,2020,1
244,2022-08-10,4,2024,2
246,2021-03-11,3,2020,4
247,2021-09-04,11,2022,1
249,2021-07-09,9,2020,2
251,2022-11-06,10,2020,2
256,2021-04-12,1,2023,1
264,2021-02-02,2,2020,3
265,2021-05-12,4,2022,2
267,2023-05-11,7,2022,3
269,2021-08-12,7,2021,1
270,2023-05-07,11,2020,1
272,2021-07-11,6,2022,2
277,2024-06-06,4,2020,3
279,2020-12-12,4,2020,4
280,2021-11-02,2,2023,3
292,2021-05-12,10,2023,2
304,2024-05-04,11,2023,3
305,2020-11-12,11,2022,4
306,2022-10-08,11,2022,2
309,2023-08-03,3,2024,3
310,2022-08-12,12,2022,2
314,2022-09-03,2,2021,3
317,2023-01-01,8,2020,3
318,2023-02-08,9,2022,1
322,2020-06-11,12,2021,1
323,2023-03-01,10,2023,2
325,2022-05-04,11,2022,1
326,2022-09-08,2,2021,1
330,2021-04-01,11,2021,3
333,2024-08-04,6,2021,2
334,2024-10-09,12,2024,1
335,2021-12-07,12,2024,4
336,2021-03-04,5,2021,1
338,2020-02-11,10,2022,1
344,2022-05-06,9,2023,3
345,2021-06-03,1,2022,1
346,2024-10-01,6,2023,1
352,2023-03-04,7,2024,4
353,2024-05-03,1,2023,1
356,2022-10-08,2,2024,3
362,2021-03-01,5,2024,4
363,2024-09-04,5,2023,2
368,2023-06-10,11,2023,1
370,2022-10-07,11,2020,3
374,2021-09-04,6,2024,1
376,2023-09-03,7,2024,4
377,2021-07-12,4,2022,3
381,2024-04-02,10,2024,1
382,2024-11-03,10,2022,4
384,2022-06-05,7,2021,1
385,2021-09-05,12,2020,2
388,2021-03-01,3,2023,3
391,2021-04-11,1,2023,2
392,2020-03-11,8,2024,2
393,2022-03-01,8,2021,1
394,2024-07-10,6,2020,1
396,2022-01-07,12,2020,4
397,2023-11-06,12,2022,4
400,2022-02-12,4,2024,4
402,2021-01-10,9,2023,4
405,2023-12-02,6,2020,4
406,2023-05-12,3,2021,2
407,2022-03-01,1,2020,1
409,2021-09-08,9,2021,4
411,2022-04-02,7,2024,2
415,2022-12-02,12,2024,3
419,2023-05-07,4,2024,4
421,2021-02-10,2,2024,4
422,2023-03-02,6,2021,2
423,2024-10-02,4,2021,4
427,2022-02-05,12,2021,4
428,2021-03-09,3,2020,1
431,2024-04-06,12,2021,1
432,2022-10-05,11,2021,1
437,2022-12-11,12,2021,4
440,2022-11-07,3,2024,2
444,2022-01-06,5,2022,2
447,2023-01-12,6,2022,2
448,2023-07-08,9,2023,3
451,2024-12-08,1,2021,2
453,2022-06-09,10,2021,2
456,2021-11-05,11,2023,2
459,2021-12-10,3,2021,1
467,2020-12-11,3,2021,2
469,2023-03-01,6,2020,4
472,2023-06-02,5,2024,2
474,2020-08-11,9,2022,3
475,2023-09-01,11,2024,1
476,2022-06-07,9,2024,2
477,2021-04-12,4,2022,1
478,2023-03-03,10,2022,3
480,2020-11-11,2,2022,4
481,2024-02-07,8,2023,3
482,2021-02-05,12,2023,4
483,2020-02-11,2,2023,4
489,2020-12-10,1,2022,4
490,2020-05-12,12,2023,4
493,2021-04-04,12,2023,4
494,2022-12-11,6,2020,2
495,2023-07-09,1,2024,3
497,2021-03-10,3,2024,2
498,2022-12-06,1,2022,2
500,2023-02-03,1,2023,1
503,2023-11-06,10,2021,1
513,2021-05-01,1,2024,2
518,2023-03-11,5,2023,1
521,2024-08-02,10,2020,3
523,2021-11-04,2,2020,1
527,2021-10-05,8,2022,2
538,2023-07-01,12,2020,1
539,2023-08-05,4,2023,2
542,2021-04-05,6,2023,2
548,2022-12-09,2,2020,1
550,2021-04-06,11,2022,4
551,2024-03-10,10,2020,4
553,2022-08-09,11,2021,1
563,2022-07-08,9,2022,1
565,2022-12-04,5,2023,3
570,2021-12-09,4,2020,1
573,2024-02-03,3,2022,3
574,2021-07-10,4,2021,1
575,2023-02-03,2,2024,4
578,2024-03-08,3,2022,4
579,2024-11-08,9,2024,4
583,2021-06-08,1,2023,2
585,2023-11-02,8,2024,2
593,2023-12-07,3,2023,1
595,2022-03-12,11,2021,1
596,2023-06-08,10,2024,4
597,2024-07-05,1,2022,4
598,2024-10-04,11,2020,2
604,2021-07-09,3,2023,1
609,2023-03-10,8,2024,4
615,2024-07-05,9,2021,1
616,2021-03-09,7,2023,2
618,2023-12-09,6,2022,2
622,2023-03-04,10,2023,2
623,2023-07-11,7,2022,4
625,2023-06-07,1,2023,4
630,2022-03-06,12,2021,1
631,2024-12-08,1,2020,2
634,2023-09-10,1,2021,2
636,2021-12-08,12,2023,1
638,2021-07-10,7,2020,1
640,2022-03-12,8,2022,3
642,2022-05-02,3,2022,2
643,2024-12-04,1,2021,4
644,2024-02-05,4,2022,2
649,2021-02-02,9,2021,2
651,2021-11-05,12,2020,2
654,2021-12-04,2,2024,2
658,2021-01-05,7,2023,3
659,2023-06-09,7,2022,2
660,2023-03-06,2,2020,4
661,2023-02-06,4,2020,1
662,2023-02-06,1,2020,3
668,2024-10-07,8,2020,3
673,2021-04-10,12,2022,3
675,2023-09-06,2,2023,1
680,2022-09-01,11,2024,3
684,2023-10-12,11,2023,4
686,2021-12-11,4,2023,3
692,2023-08-07,1,2021,3
693,2023-12-08,10,2021,4
695,2020-01-12,8,2023,4
698,2024-04-08,9,2022,4
700,2022-08-09,10,2022,3
708,2024-01-01,8,2022,2
709,2024-04-01,4,2020,2
712,2022-12-02,10,2023,1
716,2022-01-11,8,2024,1
718,2023-04-05,6,2021,2
719,2021-09-09,9,2024,4
720,2020-10-11,3,2022,4
723,2022-10-04,4,2020,2
725,2021-01-09,6,2021,3
735,2023-10-06,3,2024,3
737,2022-09-03,4,2022,1
738,2021-01-02,2,2023,1
741,2022-11-12,4,2023,1
749,2024-09-04,1,2022,4
752,2023-03-04,7,2020,4
754,2020-10-11,12,2023,2
755,2023-04-10,11,2020,1
757,2022-12-04,4,2024,1
758,2021-12-03,4,2024,1
763,2021-10-06,3,2021,2
767,2024-02-01,11,2020,4
770,2021-05-06,9,2020,3
775,2024-03-09,9,2022,4
779,2022-09-08,9,2022,1
784,2023-09-01,2,2021,4
786,2022-12-04,1,2022,4
792,2023-12-01,5,2021,1
793,2024-11-06,1,2024,2
794,2021-12-09,2,2023,4
796,2022-07-07,11,2021,3
799,2022-05-04,4,2024,1
803,2021-04-07,2,2021,2
805,2023-07-01,8,2020,4
806,2023-08-03,3,2021,1
807,2021-03-06,6,2020,4
813,2024-04-03,3,2023,2
822,2024-05-07,1,2022,1
823,2024-03-06,3,2021,1
825,2023-09-05,2,2021,2
828,2021-03-12,5,2024,2
834,2022-05-10,1,2021,4
841,2021-04-01,4,2022,3
842,2023-04-11,10,2021,1
844,2022-09-04,7,2024,4
851,2021-03-12,4,2024,1
852,2022-10-10,2,2021,2
853,2022-11-10,5,2023,2
854,2022-11-08,3,2020,1
855,2024-10-01,5,2022,3
856,2021-03-10,1,2023,4
868,2023-06-01,7,2024,4
869,2022-01-12,11,2021,2
870,2021-02-09,5,2023,3
874,2021-09-08,6,2022,2
876,2022-06-10,11,2022,1
877,2024-11-07,8,2022,1
880,2024-02-01,5,2020,1
882,2022-07-07,12,2022,3
885,2023-01-03,5,2020,4
889,2022-07-07,5,2020,2
891,2024-08-06,9,2020,4
893,2024-01-05,6,2023,3
894,2024-07-07,6,2024,1
900,2022-10-04,11,2022,3
901,2022-06-03,6,2022,2
903,2023-06-04,5,2024,1
904,2021-11-08,5,2023,3
905,2024-12-08,8,2024,1
906,2023-10-06,3,2022,3
907,2024-03-09,9,2022,3
908,2021-09-08,7,2020,4
911,2024-02-05,4,2022,1
913,2024-08-07,9,2020,3
914,2021-05-11,6,2022,1
919,2024-06-02,12,2020,4
923,2021-05-05,11,2023,4
925,2024-11-03,5,2023,2
926,2021-09-07,2,2021,1
928,2023-06-08,8,2024,3
929,2020-07-12,6,2020,3
935,2020-10-12,11,2021,4
943,2024-07-05,12,2020,4
944,2020-07-12,10,2020,3
945,2021-06-11,9,2021,1
946,2024-10-09,6,2020,2
948,2020-05-12,4,2021,3
949,2023-09-09,9,2022,4
952,2022-09-05,7,2024,1
953,2024-11-07,12,2022,2
954,2021-04-11,4,2021,1
957,2021-08-08,8,2020,2
960,2021-02-11,1,2022,4
961,2024-08-06,9,2024,4
962,2022-03-10,9,2020,2
964,2021-11-05,7,2024,3
965,2022-08-07,9,2023,3
967,2023-04-01,2,2021,3
969,2022-09-12,8,2023,4
971,2021-12-07,5,2020,4
972,2024-02-01,5,2022,1
974,2021-09-10,9,2020,1
975,2023-03-02,6,2020,1
976,2021-03-01,1,2023,1
981,2022-04-10,4,2024,3
983,2021-07-04,1,2022,1
985,2023-08-11,12,2024,3
988,2023-05-10,6,2023,2
991,2021-05-10,9,2023,2
996,2022-07-12,11,2020,2
997,2024-03-07,12,2020,4
998,2022-10-08,1,2020,2
